"MaterialName";"Category";"AdditionalNotes";"Quantity";"NVL";"BEN";"PercentComplete";"Fixture";"AssetNumber";"BEN4LPR";"CurrentState";"IndividuallyAssigned";"LamPartNumber";"LaptopAssignedBEDShift";"LaptopAssignedBENShift";"LaptopAssignedFEDShift";"LaptopAssignedFENShift";"LaptopAssignedMF";"LaptopDepartment";"RecordIDNumber";"SerialNumber";"materialPK"
"FTConsolidated18";"SWIC Cart";"Tool ID: ?
K-Key: L48065
Dock Key: 3B12";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";95;"Chase: 1034020-1117-ACH3002007
ES: 1034020-1117-ACH30022565";1514
"Building L - 19";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A204912";"";"Cleanroom Item";0;"";"";"Tysen Tippetts <62340841.bb4q>";"Alfonso Mendoza Ascencio <62883470.xz6q>";"Drew Dee <61909352.ccg5>";"";"Assembly";1065;"";1515
"Feeler Gauge Kit  #4";"Tools- Gauges & Levels";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";930;"";1516
"FTConsolidated19";"SWIC Cart";"Tool ID: ?
K-Key: L65400
Dock Key: 3B24";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";96;"Chase: 1034020-1917-ACH5000399
ES: 1034030-273-ACH5001541";1517
"Building L - 20";"SWIC-Supported GIS Laptop";"T460
";1;"";"";"";0;"A205776";"";"Cleanroom Item";0;"";"Gavin Newman <63305713.cgr9>";"Regina Curvin <61863264.cgjf>";"Marques Segundo <63053308.bufq>";"";"";"Assembly";1001;"pc0jwcvl";1518
"Disconnect Kit";"Tools- Hand Tools (Non-Calibrated)";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"771-291632-001";"";"";"";"";"";"";329;"";1519
"Feeler Gauge Kit  #5";"Tools- Gauges & Levels";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";931;"";1520
"Feeler Gauge Kit  #6";"Tools- Gauges & Levels";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1022;"";1521
"FTConsolidated20";"SWIC Cart";"Tool ID: ?
K-Key: L52101
Dock Key: 3B57";0;"";"2230911B";"72A";0;"";"2230911B";"Unavailable to Loan";0;"";"";"";"";"";"";"";97;"Chase: 1034020-1917-ACH5000409
ES: 1034030-2117-ACH5001925";1522
"Disconnect Kit #1";"Tools- Hand Tools (Non-Calibrated)";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";332;"";1523
"Building L - 21";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A3000039";"";"Cleanroom Item";0;"";"Bob Hamm <60608705.5pa8>";"Thomas St. Peter <60343516.54ct>";"Sanhsith Saypannha <62572445.be2n>";"";"";"Assembly";991;"pc0lfznc";1524
"Feeler Gauge Kit  #7";"Tools- Gauges & Levels";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1025;"";1525
"FTConsolidated21";"SWIC Cart";"Tool ID: ?
K-Key: L69148
Dock Key: 3B17";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";98;"Chase: 1034020-1017-ACH3000753
ES: 1034030-0417-ACH1001963
Network IP: 10.113.154.140";1526
"FTConsolidated22";"SWIC Cart";"Tool ID: ?
K-Key: L59287
Dock Key: 3B38";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";99;"Chase: ?
ES: ?";1527
"Disconnect Kit #2";"Tools- Hand Tools (Non-Calibrated)";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";330;"";1528
"FTConsolidated23";"SWIC Cart";"Tool ID: ?
K-Key: ?
Dock Key: 3B98";0;"";"2188611D";"93T";0;"";"2188611D";"Unavailable to Loan";0;"";"";"";"";"";"";"";100;"Chase: 1034020-1117-ACH3002001
ES: 1034020-1117-ACH3002253";1529
"Female D-9 (1/8)";"Other (Please describe)";"";5;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1996;"";1530
"DKFREERGO01";"SWIC Cart";"Thnkpad pro#: UP7018S6
Cart sn# 1310945-0093
Lock# L65234";1;"";"";"";0;"";"";"Cleanroom Item";0;"";"";"";"";"";"";"Final Test";1262;"";1531
"Female PED Heater Box Jumper";"Other (Please describe)";"";4;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2112;"";1532
"FTConsolidated24";"SWIC Cart";"Tool ID: ?
K-Key: L55376
Dock Key: 3B94";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";101;"Chase: ?
ES: ?";1533
"FinalIntLeadErgo1";"SWIC Cart";"Dock Number - C5082
Dock Key - 8B08
Cable Key - XG4269


Built for Assembly with new dock, dual monitor";1;"";"";"";0;"";"";"Cleanroom Item";0;"";"";"";"";"";"";"";1613;"";1534
"FinalTest01";"SWIC Cart";"K-Key: L52193
Dock Key: 3A56";0;"";"2229742A";"00T";0;"";"2229742A";"Unavailable to Loan";0;"";"";"";"";"";"";"";53;"Chase: 116636-511-1715894";1535
